,Unnamed: 0,Submission ID,Title,Acceptance Status,Track,Authors,Main Contact Affiliation,Submission Type,ARRLink,sha1,url
664,664,2843,Modeling Information Change in Science Communication with Semantically Matched Paraphrases,Accept-Oral,Computational Social Science and Cultural Analytics,"Dustin Wright, Jiaxin Pei, David Jurgens and Isabelle Augenstein",University of Copenhagen,Regular Long Paper,,0b7cc0e510ef05ad394a36d9cee9ddf5f2ae912f,https://www.semanticscholar.org/reader/0b7cc0e510ef05ad394a36d9cee9ddf5f2ae912f?experiments=&features=reader_skimming%3Atrue
665,665,2866,Word Order Matters When You Increase Masking,Accept-Oral,"Interpretability, Interactivity and Analysis of Models for NLP","Karim Lasri, Alessandro Lenci and Thierry Poibeau",Ecole Normale Superieure,Regular Short Paper,,ca0f43ae0e80deeac39b71822e63928b56031132,https://www.semanticscholar.org/reader/ca0f43ae0e80deeac39b71822e63928b56031132?experiments=&features=reader_skimming%3Atrue
667,667,2980,Style Transfer as Data Augmentation: A Case Study on Named Entity Recognition,Accept-Oral,Information Extraction,"Shuguang Chen, Leonardo Neves and Thamar Solorio",University of Houston,Regular Long Paper,,aea66d304c5126b9c5fb1fe4ea3360dc222877c4,https://www.semanticscholar.org/reader/aea66d304c5126b9c5fb1fe4ea3360dc222877c4?experiments=&features=reader_skimming%3Atrue
669,669,3014,Semantic Framework based Query Generation for Temporal Question Answering over Knowledge Graphs,Accept-Oral,Question Answering,"Wentao Ding, Hao Chen, Huayu Li and Yuzhong Qu",Nanjing University,Regular Long Paper,,0060396cecfb5d684d51bbf015213d1daea52be4,https://www.semanticscholar.org/reader/0060396cecfb5d684d51bbf015213d1daea52be4?experiments=&features=reader_skimming%3Atrue
670,670,3039,There Is No Standard Answer: Knowledge-Grounded Dialogue Generation with Adversarial Activated Multi-Reference Learning,Accept-Oral,Dialogue and Interactive Systems,"Xueliang Zhao, Tingchen Fu, Chongyang Tao and Rui Yan",Peking University,Regular Long Paper,,b305c995821c6e9510b9c20e966bb9a6f4658bfe,https://www.semanticscholar.org/reader/b305c995821c6e9510b9c20e966bb9a6f4658bfe?experiments=&features=reader_skimming%3Atrue
673,673,3114,A Comprehensive Comparison of Neural Networks as Cognitive Models of Inflection,Accept-Oral,"Linguistic Theories, Cognitive Modeling and Psycholinguistics","Adam Wiemerslage, Shiran Dudy and Katharina Kann",University of Colorado Boulder,Regular Long Paper,,294a75d659657b4b3b1fb48e69bd9d09e485961c,https://www.semanticscholar.org/reader/294a75d659657b4b3b1fb48e69bd9d09e485961c?experiments=&features=reader_skimming%3Atrue
674,674,3124,Can Visual Context Improve Automatic Speech Recognition for an Embodied Agent?,Accept-Oral,"Speech, Vision, Robotics, Multimodal Grounding",Pradip Pramanick and Chayan Sarkar,TCS Research,Regular Long Paper,,0340479e8ac5a93d55a917db81c160380634f247,https://www.semanticscholar.org/reader/0340479e8ac5a93d55a917db81c160380634f247?experiments=&features=reader_skimming%3Atrue
675,675,3165,AfroLID: A Neural Language Identification Tool for African Languages,Accept-Oral,Multilinguality,"Ife Adebara, AbdelRahim Elmadany, Muhammad Abdul-Mageed and Alcides Alcoba Inciarte",University of British Columbia,Regular Long Paper,,5f1264f4d170b74066f683259f92082aa6480a14,https://www.semanticscholar.org/reader/5f1264f4d170b74066f683259f92082aa6480a14?experiments=&features=reader_skimming%3Atrue
676,676,3270,EvEntS ReaLM: Event Reasoning of Entity States via Language Models,Accept-Oral,Commonsense Reasoning,"Evangelia Spiliopoulou, Artidoro Pagnoni, Yonatan Bisk and Eduard Hovy",Carnegie Mellon University,Regular Long Paper,,748a2700ec11f51560a69ec05c67ca9f97014be7,https://www.semanticscholar.org/reader/748a2700ec11f51560a69ec05c67ca9f97014be7?experiments=&features=reader_skimming%3Atrue
678,678,3285,Towards a Unified Multi-Dimensional Evaluator for Text Generation,Accept-Oral,Natural Language Generation,"Ming Zhong, Yang Liu, Da Yin, Yuning Mao, Yizhu Jiao, Pengfei Liu, Chenguang Zhu, Heng Ji and Jiawei Han",University of Illinois at Urbana-Champaign,Regular Long Paper,,041f5dbfcd07a3369ac44a6b902ee4b145eccf2b,https://www.semanticscholar.org/reader/041f5dbfcd07a3369ac44a6b902ee4b145eccf2b?experiments=&features=reader_skimming%3Atrue
681,681,3374,Entailer: Answering Questions with Faithful and Truthful Chains of Reasoning,Accept-Oral,"Interpretability, Interactivity and Analysis of Models for NLP","Oyvind Tafjord, Bhavana Dalvi Mishra and Peter Clark",Allen Institute for Artificial Intelligence,Regular Long Paper,,d400a649f0f0a3de22b89a268f48aff2dcb06a09,https://www.semanticscholar.org/reader/d400a649f0f0a3de22b89a268f48aff2dcb06a09?experiments=&features=reader_skimming%3Atrue
682,682,3389,Near-Negative Distinction: Giving a Second Life to Human Evaluation Datasets,Accept-Oral,Resources and Evaluation,"Philippe Laban, Chien-Sheng Wu, Wenhao Liu and Caiming Xiong",Salesforce Research,Regular Long Paper,,79032fc08981bbb0ae9ae353f399f0df8bdd25ee,https://www.semanticscholar.org/reader/79032fc08981bbb0ae9ae353f399f0df8bdd25ee?experiments=&features=reader_skimming%3Atrue
683,683,3425,ToKen: Task Decomposition and Knowledge Infusion for Few-Shot Hate Speech Detection,Accept-Oral,NLP Applications,"Badr AlKhamissi, Faisal Ladhak, Srinivasan Iyer, Veselin Stoyanov, Zornitsa Kozareva, Xian Li, Pascale Fung, Lambert Mathias, Asli Celikyilmaz and Mona Diab",Meta AI,Regular Long Paper,,61349749b9dda9d9299f0c232a070301428c1039,https://www.semanticscholar.org/reader/61349749b9dda9d9299f0c232a070301428c1039?experiments=&features=reader_skimming%3Atrue
684,684,3434,Are Hard Examples also Harder to Explain? A Study with Human and Model-Generated Explanations,Accept-Oral,"Interpretability, Interactivity and Analysis of Models for NLP","Swarnadeep Saha, Peter Hase, Nazneen Rajani and Mohit Bansal",University of North Carolina at Chapel Hill,Regular Short Paper,,0040dac7a1bf7a1eeb01c86ddb993f331f35b158,https://www.semanticscholar.org/reader/0040dac7a1bf7a1eeb01c86ddb993f331f35b158?experiments=&features=reader_skimming%3Atrue
686,686,3465,Gendered Mental Health Stigma in Masked Language Models,Accept-Oral,Ethics,"Wanyin Lin, Lucille Njoo, Anjalie Field, Ashish Sharma, Katharina Reinecke, Tim Althoff and Yulia Tsvetkov",University of Washington,Regular Long Paper,,4bf6f629eda8301b2e1339401678af952dd9bfb1,https://www.semanticscholar.org/reader/4bf6f629eda8301b2e1339401678af952dd9bfb1?experiments=&features=reader_skimming%3Atrue
687,687,3496,Efficient Nearest Neighbor Search for Cross-Encoder Models using Matrix Factorization,Accept-Oral,Machine Learning for NLP,"Nishant Yadav, Nicholas Monath, Rico Angell, Manzil Zaheer and Andrew McCallum",UMass Amherst,Regular Long Paper,,280eda29f3704b53f3488497c43983c131574c3e,https://www.semanticscholar.org/reader/280eda29f3704b53f3488497c43983c131574c3e?experiments=&features=reader_skimming%3Atrue
688,688,3501,Prompt-and-Rerank: A Method for Zero-Shot and Few-Shot Arbitrary Textual Style Transfer with Small Language Models,Accept-Oral,Natural Language Generation,"Mirac Suzgun, Luke Melas-Kyriazi and Dan Jurafsky",Stanford University,Regular Long Paper,,0d6bb585493e34975f0437faa3179db3a02f6ae8,https://www.semanticscholar.org/reader/0d6bb585493e34975f0437faa3179db3a02f6ae8?experiments=&features=reader_skimming%3Atrue
691,691,3614,Gradient-based Constrained Sampling from Language Models,Accept-Oral,Natural Language Generation,"Sachin Kumar, Biswajit Paria and Yulia Tsvetkov",Carnegie Mellon University,Regular Long Paper,,f1e56def812bc398d1b2b8c9a7ea6a623abd38e5,https://www.semanticscholar.org/reader/f1e56def812bc398d1b2b8c9a7ea6a623abd38e5?experiments=&features=reader_skimming%3Atrue
