,Unnamed: 0,Submission ID,Title,Acceptance Status,Track,Authors,Main Contact Affiliation,Submission Type,ARRLink,sha1,url
1117,1117,2865,Quantifying Privacy Risks of Masked Language Models Using Membership Inference Attacks,Accept-Poster,Ethic Concerns:Ethics,"Fatemehsadat Mireshghallah, Kartik Goyal, Archit Uniyal, Taylor Berg-Kirkpatrick and Reza Shokri",UC San Diego,Regular Long Paper,,cc3b41c4d2ededb94b481089633ecb43d6b2162f,https://www.semanticscholar.org/reader/cc3b41c4d2ededb94b481089633ecb43d6b2162f?experiments=&features=reader_skimming%3Atrue
1118,1118,2867,SMaLL-100: Introducing Shallow Multilingual Machine Translation Model for Low-Resource Languages,Accept-Poster,Machine Translation,"Alireza Mohammadshahi, Vassilina Nikoulina, Alexandre Berard, Caroline Brun, James Henderson and Laurent Besacier",IDIAP,Regular Short Paper,,83608aadb17443beba22c4087030c8704ccd7c64,https://www.semanticscholar.org/reader/83608aadb17443beba22c4087030c8704ccd7c64?experiments=&features=reader_skimming%3Atrue
1123,1123,2896,IELM: An Open Information Extraction Benchmark for Pre-Trained Language Models,Accept-Poster,Information Extraction,"Chenguang Wang, Xiao Liu and Dawn Song",Tsinghua University,Regular Long Paper,,1933a0ef47f8d2ba4a8277d702d522a06319302c,https://www.semanticscholar.org/reader/1933a0ef47f8d2ba4a8277d702d522a06319302c?experiments=&features=reader_skimming%3Atrue
1124,1124,2898,ConNER: Consistency Training for Cross-lingual Named Entity Recognition,Accept-Poster,Multilinguality,"Ran Zhou, Xin Li, Lidong Bing, Erik Cambria, Luo Si and Chunyan Miao",Nanyang Technological University,Regular Long Paper,,91e24327e4502a95a2ed7f2ac4c36cf0139284cb,https://www.semanticscholar.org/reader/91e24327e4502a95a2ed7f2ac4c36cf0139284cb?experiments=&features=reader_skimming%3Atrue
1127,1127,2935,Revisiting DocRED - Addressing the False Negative Problem in Relation Extraction,Accept-Poster,Resources and Evaluation,"Qingyu Tan, Lu Xu, Lidong Bing, Hwee Tou Ng and Sharifah Mahani Aljunied",National University of Singapore,Regular Long Paper,,982dad9a1dfbaddc8bd83ad09fc79be71fa3187f,https://www.semanticscholar.org/reader/982dad9a1dfbaddc8bd83ad09fc79be71fa3187f?experiments=&features=reader_skimming%3Atrue
1128,1128,2938,Towards Summary Candidates Fusion,Accept-Poster,Summarization,"Mathieu Ravaut, Shafiq Joty and Nancy Chen",Nanyang Technological University,Regular Long Paper,,b9330420dfa9756b7d71652103bd33ae2a34db24,https://www.semanticscholar.org/reader/b9330420dfa9756b7d71652103bd33ae2a34db24?experiments=&features=reader_skimming%3Atrue
1130,1130,2950,TranSHER: Translating Knowledge Graph Embedding with Hyper-Ellipsoidal Restriction,Accept-Poster,Commonsense Reasoning,"Yizhi Li, Wei Fan, Chao Liu, Chenghua Lin and Jiang Qian",The University of Sheffield,Regular Long Paper,,4a3dfe9f4085591e17c19d6a5438c1bb94279183,https://www.semanticscholar.org/reader/4a3dfe9f4085591e17c19d6a5438c1bb94279183?experiments=&features=reader_skimming%3Atrue
1137,1137,3033,Bloom Library: Multimodal Datasets in 300+ Languages for a Variety of Downstream Tasks,Accept-Poster,Resources and Evaluation,"Colin Leong, Joshua Nemecek, Jacob Mansdorfer, Anna Filighera, Abraham Owodunni and Daniel Whitenack",SIL International,Regular Long Paper,,fddaeb14ae30217ee7cd77a1043fb98884ab927b,https://www.semanticscholar.org/reader/fddaeb14ae30217ee7cd77a1043fb98884ab927b?experiments=&features=reader_skimming%3Atrue
1139,1139,3048,Does Your Model Classify Entities Reasonably? Diagnosing and Mitigating Spurious Correlations in Entity Typing,Accept-Poster,"Interpretability, Interactivity and Analysis of Models for NLP","Nan Xu, Fei Wang, Bangzheng Li, Mingtao Dong and Muhao Chen",University of Southern California,Regular Long Paper,,467c5ef31db6639fc6cd7aa9a3f0cbd151313673,https://www.semanticscholar.org/reader/467c5ef31db6639fc6cd7aa9a3f0cbd151313673?experiments=&features=reader_skimming%3Atrue
1140,1140,3049,EDIN: An End-to-end Benchmark and Pipeline for Unknown Entity Discovery and Indexing,Accept-Poster,Information Extraction,"Nora Kassner, Fabio Petroni, Mikhail Plekhanov, Sebastian Riedel and Nicola Cancedda","Center for Information and Language Processing, LMU Munich",Regular Long Paper,,65d217468f1f3fd7088da17d8e81afc408a8c235,https://www.semanticscholar.org/reader/65d217468f1f3fd7088da17d8e81afc408a8c235?experiments=&features=reader_skimming%3Atrue
1142,1142,3060,Measuring the Mixing of Contextual Information in the Transformer,Accept-Poster,"Interpretability, Interactivity and Analysis of Models for NLP","Javier Ferrando, Gerard I. Gállego and Marta R. Costa-juss",UPC,Regular Long Paper,,bb1c9cb431e771660cffdda1d80a7f15ff40c764,https://www.semanticscholar.org/reader/bb1c9cb431e771660cffdda1d80a7f15ff40c764?experiments=&features=reader_skimming%3Atrue
1143,1143,3070,Dealing with Abbreviations in the Slovenian Biographical Lexicon,Accept-Poster,Computational Social Science and Cultural Analytics,"Angel Daza, Antske Fokkens and Tomaž Erjavec",Vrije Universiteit Amsterdam - Computational Linguistics & Text Mining Lab,Regular Short Paper,,09677c42e427a6593df78926831b56f4bb83b17a,https://www.semanticscholar.org/reader/09677c42e427a6593df78926831b56f4bb83b17a?experiments=&features=reader_skimming%3Atrue
1146,1146,3075,Towards Opening the Black Box of Neural Machine Translation: Source and Target Interpretations of the Transformer,Accept-Poster,Machine Translation,"Javier Ferrando, Gerard I. Gállego, Belen Alastruey, Carlos Escolano and Marta R. Costa-juss",UPC,Regular Long Paper,,fd06e7aaf9131c9a625d374841844adce6e0ed09,https://www.semanticscholar.org/reader/fd06e7aaf9131c9a625d374841844adce6e0ed09?experiments=&features=reader_skimming%3Atrue
1148,1148,3119,Decoding a Neural Retriever's Latent Space for Query Suggestion,Accept-Poster,"Interpretability, Interactivity and Analysis of Models for NLP","Leonard Adolphs, Michelle Chen Huebscher, Christian Buck, Sertan Girgin, Olivier Bachem, Massimiliano Ciaramita and Thomas Hofmann",ETHZ,Regular Long Paper,,02ab15d5a21715724889cf2a34242a330972fbb5,https://www.semanticscholar.org/reader/02ab15d5a21715724889cf2a34242a330972fbb5?experiments=&features=reader_skimming%3Atrue
1150,1150,3128,PromptBERT: Improving BERT Sentence Embeddings with Prompts,Accept-Poster,"Semantics: Lexical, Sentence level, Textual Inference and Other areas","Ting Jiang, Jian Jiao, Shaohan Huang, Zihan Zhang, deqing wang, Fuzhen Zhuang, Furu Wei, Haizhen Huang, Denvy Deng and Qi Zhang",Microsoft,Regular Long Paper,,27b6acf6bbb8fcad1f6bf1b90331b49489bd5ff1,https://www.semanticscholar.org/reader/27b6acf6bbb8fcad1f6bf1b90331b49489bd5ff1?experiments=&features=reader_skimming%3Atrue
1151,1151,3132,Extending Logic Explained Networks to Text Classification,Accept-Poster,"Interpretability, Interactivity and Analysis of Models for NLP","Rishabh Jain, Gabriele Ciravegna, Pietro Barbiero, Francesco Giannini, Davide Buffelli and Pietro Lio","Inria, Université Cote d'Azur",Regular Short Paper,,c336eb89564889fb1720e792f7cdd31122b4ffb4,https://www.semanticscholar.org/reader/c336eb89564889fb1720e792f7cdd31122b4ffb4?experiments=&features=reader_skimming%3Atrue
1152,1152,3137,Uni-Parser: Unified Semantic Parser for Question Answering on Knowledge Base and Database,Accept-Poster,Question Answering,"Ye Liu, Semih Yavuz, Rui Meng, Dragomir Radev, caiming xiong and Yingbo Zhou",Salesforce,Regular Long Paper,,4dbd5febea8968acda097642e3daf2c312618bed,https://www.semanticscholar.org/reader/4dbd5febea8968acda097642e3daf2c312618bed?experiments=&features=reader_skimming%3Atrue
1153,1153,3138,RAPO: An Adaptive Ranking Paradigm for Bilingual Lexicon Induction,Accept-Poster,Machine Translation,"Zhoujin Tian, Chaozhuo Li, Shuo Ren, Zhiqiang Zuo, Zengxuan Wen, Xinyue Hu, Xiao Han, Haizhen Huang, Denvy Deng, Qi Zhang and Xing Xie",Microsoft,Regular Long Paper,,4b3c82cff291cb4be1e5405d05264d001cfc1e83,https://www.semanticscholar.org/reader/4b3c82cff291cb4be1e5405d05264d001cfc1e83?experiments=&features=reader_skimming%3Atrue
1155,1155,3147,Distilled Dual-Encoder Model for Vision-Language Understanding,Accept-Poster,"Speech, Vision, Robotics, Multimodal Grounding","Zekun Wang, Wenhui Wang, Haichao Zhu, ming liu, Bing Qin and Furu Wei",Harbin Institute of Technology,Regular Long Paper,,96362c3467d70ff1b471f74e0f83085b52afec34,https://www.semanticscholar.org/reader/96362c3467d70ff1b471f74e0f83085b52afec34?experiments=&features=reader_skimming%3Atrue
1157,1157,3172,Hierarchical Multi-Label Classification of Scientific Documents,Accept-Poster,Resources and Evaluation,Mobashir Sadat and Cornelia Caragea,University of Illinois at Chicago,Regular Long Paper,,8f066cdf7a5a37834b147dfa8e21e3275008ae8c,https://www.semanticscholar.org/reader/8f066cdf7a5a37834b147dfa8e21e3275008ae8c?experiments=&features=reader_skimming%3Atrue
1158,1158,3182,Rainier: Reinforced Knowledge Introspector for Commonsense Question Answering,Accept-Poster,Commonsense Reasoning,"Jiacheng Liu, Skyler R. Hallinan, Ximing Lu, Pengfei He, Sean Welleck, Hannaneh Hajishirzi and Yejin Choi",University of Washington,Regular Long Paper,,2591c66c6006c9c275a3dc7108a487934bc1c06f,https://www.semanticscholar.org/reader/2591c66c6006c9c275a3dc7108a487934bc1c06f?experiments=&features=reader_skimming%3Atrue
1160,1160,3190,Towards Inter-character Relationship-driven Story Generation,Accept-Poster,Natural Language Generation,"Anvesh Rao Vijjini, Faeze Brahman and Snigdha Chaturvedi",UNC Chapel Hill,Regular Long Paper,,684e0925aa11628a165a6faf2095e45447258769,https://www.semanticscholar.org/reader/684e0925aa11628a165a6faf2095e45447258769?experiments=&features=reader_skimming%3Atrue
1161,1161,3201,Incorporating Relevance Feedback for Information-Seeking Retrieval using Few-Shot Document Re-Ranking,Accept-Poster,Information Retrieval and Text Mining,"Tim Baumgärtner, Leonardo F. R. Ribeiro, Nils Reimers and Iryna Gurevych",TU Darmstadt,Regular Long Paper,,036e81bc9ef13272c74e9a504be23676dcce1d9d,https://www.semanticscholar.org/reader/036e81bc9ef13272c74e9a504be23676dcce1d9d?experiments=&features=reader_skimming%3Atrue
1162,1162,3202,ReasTAP: Injecting Table Reasoning Skills During Pre-training via Synthetic Reasoning Examples,Accept-Poster,Question Answering,"Yilun Zhao, Linyong Nan, Zhenting Qi, Rui Zhang and Dragomir Radev",Yale University,Regular Long Paper,,e1801f68d42f4a1a96d580b73706733883bf6af8,https://www.semanticscholar.org/reader/e1801f68d42f4a1a96d580b73706733883bf6af8?experiments=&features=reader_skimming%3Atrue
1163,1163,3205,Few-shot Learning with Multilingual Generative Language Models,Accept-Poster,Multilinguality,"Xi Victoria Lin, Todor Mihaylov, Mikel Artetxe, Tianlu Wang, Shuohui Chen, Daniel Simig, Myle Ott, Naman Goyal, Shruti Bhosale, Jingfei Du, Ramakanth Pasunuru, Sam Shleifer, Punit Singh Koura, Vishrav Chaudhary, Brian O'Horo, Jeff Wang, Luke Zettlemoyer, Zornitsa Kozareva, Mona Diab, Veselin Stoyanov and Xian Li",Meta AI,Regular Long Paper,,4724ebee34ca2cd0a19c3a1ddb83d6d870dd7904,https://www.semanticscholar.org/reader/4724ebee34ca2cd0a19c3a1ddb83d6d870dd7904?experiments=&features=reader_skimming%3Atrue
1164,1164,3219,Are representations built from the ground up? An empirical examination of local composition in language models,Accept-Poster,"Semantics: Lexical, Sentence level, Textual Inference and Other areas",Emmy Liu and Graham Neubig,Carnegie Mellon University,Regular Long Paper,,ee5895aa70bb4dbbdda256e23cada2d2ad1b15ae,https://www.semanticscholar.org/reader/ee5895aa70bb4dbbdda256e23cada2d2ad1b15ae?experiments=&features=reader_skimming%3Atrue
1165,1165,3224,Detecting Label Errors by Using Pre-Trained Language Models,Accept-Poster,Resources and Evaluation,"Derek Chong, Jenny Hong and Christopher D. Manning",Stanford University,Regular Long Paper,,a4429dd1276f16e696cd8ffb7b9a07a913e770eb,https://www.semanticscholar.org/reader/a4429dd1276f16e696cd8ffb7b9a07a913e770eb?experiments=&features=reader_skimming%3Atrue
1168,1168,3254,English Contrastive Learning Can Learn Universal Cross-lingual Sentence Embeddings,Accept-Poster,Multilinguality,"Yaushian Wang, Ashley Wu and Graham Neubig",Carnegie Mellon University,Regular Long Paper,,1fec9a1c1d28228b1d23874c74de7315928dea6f,https://www.semanticscholar.org/reader/1fec9a1c1d28228b1d23874c74de7315928dea6f?experiments=&features=reader_skimming%3Atrue
1169,1169,3260,Active Example Selection for In-Context Learning,Accept-Poster,Language Modeling and Analysis of Language Models,"Yiming Zhang, Shi Feng and Chenhao Tan",University of Chicago,Regular Long Paper,,b8bd29a6104d26a16687400049a4e7e026ae6258,https://www.semanticscholar.org/reader/b8bd29a6104d26a16687400049a4e7e026ae6258?experiments=&features=reader_skimming%3Atrue
1170,1170,3262,Improving Factual Consistency in Summarization with Compression-Based Post-Editing,Accept-Poster,Summarization,"Alex Fabbri, Prafulla Kumar Choubey, Jesse Vig, Chien-Sheng Wu and caiming xiong",Salesforce AI Research,Regular Short Paper,,7cf1944c133679356afd75d735abcbe5332d76e7,https://www.semanticscholar.org/reader/7cf1944c133679356afd75d735abcbe5332d76e7?experiments=&features=reader_skimming%3Atrue
1171,1171,3272,Evaluating the Impact of Model Scale for Compositional Generalization in Semantic Parsing,Accept-Poster,"Semantics: Lexical, Sentence level, Textual Inference and Other areas","Linlu Qiu, Peter Shaw, Panupong Pasupat, Tianze Shi, Jonathan Herzig, Emily Pitler, Fei Sha and Kristina Toutanova",Massachusetts Institute of Technology,Regular Long Paper,,6e10343767ab09dde83cf99ea3442907402a9810,https://www.semanticscholar.org/reader/6e10343767ab09dde83cf99ea3442907402a9810?experiments=&features=reader_skimming%3Atrue
1173,1173,3286,Understanding ME? Multimodal Evaluation for Fine-grained Visual Commonsense,Accept-Poster,Commonsense Reasoning,"Zhecan Wang, Haoxuan You, Yicheng He, Wenhao Li, Kai-Wei Chang and Shih-Fu Chang",columbia university,Regular Long Paper,,4ec418f72f831b0d3c4591e7da8d4369b12a7ec2,https://www.semanticscholar.org/reader/4ec418f72f831b0d3c4591e7da8d4369b12a7ec2?experiments=&features=reader_skimming%3Atrue
1177,1177,3313,Overcoming Catastrophic Forgetting in Zero-Shot Cross-Lingual Generation,Accept-Poster,Efficient Methods for NLP,"Tu Vu, Aditya Barua, Brian Lester, Daniel Cer, Mohit Iyyer and Noah Constant",University of Massachusetts Amherst,Regular Long Paper,,d05a071b35112e306cd01853ca9a8f899b8dedc2,https://www.semanticscholar.org/reader/d05a071b35112e306cd01853ca9a8f899b8dedc2?experiments=&features=reader_skimming%3Atrue
1178,1178,3320,Improving Large-scale Paraphrase Acquisition and Generation,Accept-Poster,Resources and Evaluation,"Yao Dou, Chao Jiang and Wei Xu",Georgia Institute of Technology,Regular Long Paper,,dc62b87f2eae1683f5dc667d5035ffbd36bbe011,https://www.semanticscholar.org/reader/dc62b87f2eae1683f5dc667d5035ffbd36bbe011?experiments=&features=reader_skimming%3Atrue
1182,1182,3352,Don't Copy the Teacher: Data and Model Challenges in Embodied Dialogue,Accept-Poster,"Speech, Vision, Robotics, Multimodal Grounding","So Yeon Min, Hao Zhu, Ruslan Salakhutdinov and Yonatan Bisk",CMU MLD,Regular Short Paper,,a19a9b3db8b67e91b45724e349aa2ab3f2006437,https://www.semanticscholar.org/reader/a19a9b3db8b67e91b45724e349aa2ab3f2006437?experiments=&features=reader_skimming%3Atrue
1184,1184,3357,Dungeons and Dragons as a Dialog Challenge for Artificial Intelligence,Accept-Poster,Dialogue and Interactive Systems,"Chris Callison-Burch, Gaurav Singh Tomar, Lara Martin, Daphne Ippolito, Suma Bailis and David Reitter",University of Pennsylvania,Regular Long Paper,,22d34b881d64523da54f13d01fc3c6d93a8412e3,https://www.semanticscholar.org/reader/22d34b881d64523da54f13d01fc3c6d93a8412e3?experiments=&features=reader_skimming%3Atrue
1186,1186,3376,Weakly-Supervised Temporal Article Grounding,Accept-Poster,"Speech, Vision, Robotics, Multimodal Grounding","Long Chen, Yulei Niu, Brian Chen, Xudong Lin, Guangxing Han, Christopher Thomas, Hammad Ayyubi, Heng Ji and Shih-Fu Chang",Columbia University,Regular Long Paper,,2186518e9b94cb7a3ae13e2cc8633bb9bd6209fd,https://www.semanticscholar.org/reader/2186518e9b94cb7a3ae13e2cc8633bb9bd6209fd?experiments=&features=reader_skimming%3Atrue
1187,1187,3378,Exploring Dual Encoder Architectures for Question Answering,Accept-Poster,Information Retrieval and Text Mining,"Zhe Dong, Jianmo Ni, Dan Bikel, Enrique Alfonseca, Yuan Wang, Chen Qu and Imed Zitouni",Google Inc,Regular Short Paper,,b9a7a565c0af63f467595f69263974f2e5bc0bbe,https://www.semanticscholar.org/reader/b9a7a565c0af63f467595f69263974f2e5bc0bbe?experiments=&features=reader_skimming%3Atrue
1189,1189,3390,Why Do You Feel This Way? Summarizing Triggers of Emotions in Social Media Posts,Accept-Poster,Summarization,"Hongli Zhan, Tiberiu Sosea, Cornelia Caragea and Junyi Jessy Li",University of Texas at Austin,Regular Long Paper,,bb6bbc8f5dd79e06b85be269603a38dcc1799436,https://www.semanticscholar.org/reader/bb6bbc8f5dd79e06b85be269603a38dcc1799436?experiments=&features=reader_skimming%3Atrue
1191,1191,3399,Towards Teachable Reasoning Systems: Using a Dynamic Memory of User Feedback for Continual System Improvement,Accept-Poster,"Interpretability, Interactivity and Analysis of Models for NLP","Bhavana Dalvi Mishra, Oyvind Tafjord and Peter Clark",Allen Institute for Artificial Intelligence,Regular Long Paper,,e7d75b80e0fa3ae190ff91676dbf18a006d3a311,https://www.semanticscholar.org/reader/e7d75b80e0fa3ae190ff91676dbf18a006d3a311?experiments=&features=reader_skimming%3Atrue
1192,1192,3436,Knowledge Transfer from Answer Ranking to Answer Generation,Accept-Poster,Question Answering,"Matteo Gabburo, Rik Koncel-Kedziorski, Siddhant Garg, Luca Soldaini and Alessandro Moschitti",Amazon,Regular Long Paper,,27202f962798d08b39601a36127360c5ccd9c625,https://www.semanticscholar.org/reader/27202f962798d08b39601a36127360c5ccd9c625?experiments=&features=reader_skimming%3Atrue
1193,1193,3450,Perturbation Augmentation for Fairer NLP,Accept-Poster,Ethics,"Rebecca Qian, Candace Ross, Jude Fernandes, Eric Michael Smith, Douwe Kiela and Adina Williams",Facebook AI Research,Regular Long Paper,,011095a0082e5e301f9bf30267b193c1c9e7e370,https://www.semanticscholar.org/reader/011095a0082e5e301f9bf30267b193c1c9e7e370?experiments=&features=reader_skimming%3Atrue
1194,1194,3451,Automatic Document Selection for Efficient Encoder Pretraining,Accept-Poster,Efficient Methods for NLP,"Yukun Feng, Patrick Xia, Benjamin Van Durme and João Sedoc",New York University,Regular Short Paper,,4bef9d46209ac8988ea5ab83547149760d4af65e,https://www.semanticscholar.org/reader/4bef9d46209ac8988ea5ab83547149760d4af65e?experiments=&features=reader_skimming%3Atrue
1196,1196,3460,🌾 DEMETR: Diagnosing Evaluation Metrics for Translation,Accept-Poster,Resources and Evaluation,"Marzena Karpinska, Nishant Raj, Katherine Thai, Yixiao Song, Ankita Gupta and Mohit Iyyer",University of Massachusetts Amherst,Regular Long Paper,,9443a623d6e0d423adb9c61b5d225f0077f38767,https://www.semanticscholar.org/reader/9443a623d6e0d423adb9c61b5d225f0077f38767?experiments=&features=reader_skimming%3Atrue
1197,1197,3478,Empowering Language Models with Knowledge Graph Reasoning for Question Answering,Accept-Poster,Question Answering,"Ziniu Hu, Yichong Xu, Wenhao Yu, Shuohang Wang, Ziyi Yang, Chenguang Zhu, Kai-Wei Chang and Yizhou Sun","University of California, Los Angeles",Regular Long Paper,,8806ba65f2a477fe685c250c1536d2e8ef450958,https://www.semanticscholar.org/reader/8806ba65f2a477fe685c250c1536d2e8ef450958?experiments=&features=reader_skimming%3Atrue
1201,1201,3488,Evaluating and Improving Factuality in Multimodal Abstractive Summarization,Accept-Poster,Summarization,David Wan and Mohit Bansal,University of North Carolina at Chapel Hill,Regular Long Paper,,10edd3ef21ad148ac1517fbc5a31a944e78b7d63,https://www.semanticscholar.org/reader/10edd3ef21ad148ac1517fbc5a31a944e78b7d63?experiments=&features=reader_skimming%3Atrue
1202,1202,3518,Referee: Reference-Free Sentence Summarization with Sharper Controllability through Symbolic Knowledge Distillation,Accept-Poster,Summarization,"Melanie Sclar, Peter West, Sachin Kumar, Yulia Tsvetkov and Yejin Choi","Paul G. Allen School of Computer Science & Engineering, University of Washington",Regular Long Paper,,78d3955e30d99650d078ba3ce1a523745da31040,https://www.semanticscholar.org/reader/78d3955e30d99650d078ba3ce1a523745da31040?experiments=&features=reader_skimming%3Atrue
1204,1204,3529,MABEL: Attenuating Gender Bias using Textual Entailment Data,Accept-Poster,Ethics,"Jacqueline He, Mengzhou Xia, Christiane Fellbaum and Danqi Chen",Princeton University,Regular Long Paper,,20e1ef6a126bd9bc0b4e899debbf65c6baa21652,https://www.semanticscholar.org/reader/20e1ef6a126bd9bc0b4e899debbf65c6baa21652?experiments=&features=reader_skimming%3Atrue
1205,1205,3539,Breakpoint Transformers for Modeling and Tracking Intermediate Beliefs,Accept-Poster,"Semantics: Lexical, Sentence level, Textual Inference and Other areas","Kyle Richardson, Ronen Tamari, Oren Sultan, Dafna Shahaf, Reut Tsarfaty and Ashish Sabharwal",the Allen Institute for Artificial Intelligence,Regular Long Paper,,fee5088cc8242189f298be604114e8b8e9f7ce28,https://www.semanticscholar.org/reader/fee5088cc8242189f298be604114e8b8e9f7ce28?experiments=&features=reader_skimming%3Atrue
1206,1206,3548,Late Fusion with Triplet Margin Objective for Multimodal Ideology Prediction and Analysis,Accept-Poster,"Ethic Concerns:Sentiment Analysis, Stylistic Analysis, and Argument Mining","Changyuan Qiu, Winston Wu, Xinliang Frederick Zhang and Lu Wang",University of Michigan,Regular Long Paper,,9272a06ea006171f34d29d46319230438fd531a7,https://www.semanticscholar.org/reader/9272a06ea006171f34d29d46319230438fd531a7?experiments=&features=reader_skimming%3Atrue
1207,1207,3552,Leveraging QA Datasets to Improve Generative Data Augmentation,Accept-Poster,Efficient Methods for NLP,"Dheeraj Mekala, Tu Vu, Timo Schick and Jingbo Shang",University of California San Diego,Regular Long Paper,,889045714af6c2e9c187dd5347f1b308447edcc9,https://www.semanticscholar.org/reader/889045714af6c2e9c187dd5347f1b308447edcc9?experiments=&features=reader_skimming%3Atrue
1209,1209,3565,"CTL++: Evaluating Generalization on Never-Seen Compositional Patterns of Known Functions, and Compatibility of Neural Representations",Accept-Poster,Machine Learning for NLP,"Róbert Csordás, Kazuki Irie and Juergen Schmidhuber","The Swiss AI Lab, IDSIA, USI & SUPSI",Regular Short Paper,,b1f33e956e36bf25e118c0d537dcc519cfe52e60,https://www.semanticscholar.org/reader/b1f33e956e36bf25e118c0d537dcc519cfe52e60?experiments=&features=reader_skimming%3Atrue
1211,1211,3573,Adaptive Label Smoothing with Self-Knowledge in Natural Language Generation,Accept-Poster,Machine Learning for NLP,"Dongkyu Lee, Ka Chun Cheung and Nevin L. Zhang",Hong Kong University of Science and Technology,Regular Long Paper,,40b0d9e116c46bd8d6813712f013c54c2790c17c,https://www.semanticscholar.org/reader/40b0d9e116c46bd8d6813712f013c54c2790c17c?experiments=&features=reader_skimming%3Atrue
1212,1212,3581,Hard Gate Knowledge Distillation - Leverage Calibration for Robust and Reliable Language Model,Accept-Poster,Natural Language Generation,"Dongkyu Lee, Zhiliang Tian, Yingxiu Zhao, Ka Chun Cheung and Nevin L. Zhang",Hong Kong University of Science and Technology,Regular Long Paper,,0514444cd3564a7d7a561c4e5851c854000adb9f,https://www.semanticscholar.org/reader/0514444cd3564a7d7a561c4e5851c854000adb9f?experiments=&features=reader_skimming%3Atrue
1213,1213,3596,Are All Spurious Features in Natural Language Alike? An Analysis through a Causal Lens,Accept-Poster,"Interpretability, Interactivity and Analysis of Models for NLP","Nitish Joshi, Xiang Pan and He He",New York University,Regular Long Paper,,b135144dd8853b7c515f15da1ce943a5be789c1e,https://www.semanticscholar.org/reader/b135144dd8853b7c515f15da1ce943a5be789c1e?experiments=&features=reader_skimming%3Atrue
1215,1215,3621,Coordinated Topic Modeling,Accept-Poster,Information Retrieval and Text Mining,"Pritom Saha Akash, Jie Huang and Kevin Chang",University of Illinois at Urbana-Champaign,Regular Long Paper,,20aa75f5ca65e4b11d4285d00ed4945e59a5b38c,https://www.semanticscholar.org/reader/20aa75f5ca65e4b11d4285d00ed4945e59a5b38c?experiments=&features=reader_skimming%3Atrue
1216,1216,3627,Large Dual Encoders Are Generalizable Retrievers,Accept-Poster,Information Retrieval and Text Mining,"Jianmo Ni, Chen Qu, Jing Lu, Zhuyun Dai, Gustavo Hernandez Abrego, Ji Ma, Vincent Zhao, Yi Luan, Keith Hall, Ming-Wei Chang and Yinfei Yang",Google,Regular Long Paper,,9f2cf7b35224aad3a8d261e4456fe2d65a5f5d3e,https://www.semanticscholar.org/reader/9f2cf7b35224aad3a8d261e4456fe2d65a5f5d3e?experiments=&features=reader_skimming%3Atrue
1217,1217,3631,CRIPP-VQA: Counterfactual Reasoning about Implicit Physical Properties via Video Question Answering,Accept-Poster,Resources and Evaluation,"Maitreya Patel, Tejas Gokhale, Chitta Baral and Yezhou Yang",Arizona State University,Regular Long Paper,,e881cc29a647bf5f0c9edcbd710ef56e3e2b2a7a,https://www.semanticscholar.org/reader/e881cc29a647bf5f0c9edcbd710ef56e3e2b2a7a?experiments=&features=reader_skimming%3Atrue
1219,1219,3642,Exploring Document-Level Literary Machine Translation with Parallel Paragraphs from World Literature,Accept-Poster,Resources and Evaluation,"Katherine Thai, Marzena Karpinska, Kalpesh Krishna, Bill Ray, Moira Inghilleri, John Wieting and Mohit Iyyer",University of Massachusetts Amherst,Regular Long Paper,,671e84e7001bdc590281009e5f83072342c7d8b3,https://www.semanticscholar.org/reader/671e84e7001bdc590281009e5f83072342c7d8b3?experiments=&features=reader_skimming%3Atrue
1220,1220,3654,Label-aware Multi-level Contrastive Learning for Cross-lingual Spoken Language Understanding,Accept-Poster,Multilinguality,"Shining Liang, Linjun Shou, Jian Pei, Ming Gong, Wanli Zuo, Xianglin Zuo and Daxin Jiang",Jilin University,Regular Long Paper,,c8eb8822f70f48d025119bd2b274d1bd4f595730,https://www.semanticscholar.org/reader/c8eb8822f70f48d025119bd2b274d1bd4f595730?experiments=&features=reader_skimming%3Atrue
1221,1221,3658,Polyglot Prompt: Multilingual Multitask Prompt Training,Accept-Poster,Multilinguality,"Jinlan Fu, See-Kiong Ng and Pengfei Liu",National University of Singapore,Regular Long Paper,,15437760a28d528bb1b76794aa4b1d15e7ba2a16,https://www.semanticscholar.org/reader/15437760a28d528bb1b76794aa4b1d15e7ba2a16?experiments=&features=reader_skimming%3Atrue
1223,1223,3676,Generative Entity-to-Entity Stance Detection with Knowledge Graph Augmentation,Accept-Poster,"Sentiment Analysis, Stylistic Analysis, and Argument Mining","Xinliang Frederick Zhang, Nick Beauchamp and Lu Wang",University of Michigan,Regular Long Paper,,2f09e6722eea9be4f80b4ff6bb66469a09c2fc98,https://www.semanticscholar.org/reader/2f09e6722eea9be4f80b4ff6bb66469a09c2fc98?experiments=&features=reader_skimming%3Atrue
1224,1224,3694,Symptom Identification for Interpretable Detection of Multiple Mental Disorders on Social Media,Accept-Poster,"Sentiment Analysis, Stylistic Analysis, and Argument Mining","Zhiling Zhang, Siyuan Chen, Mengyue Wu and Kenny Zhu",Shanghai Jiao Tong University,Regular Long Paper,,3979f023b328c766c9ef3e1174a84a23619fedec,https://www.semanticscholar.org/reader/3979f023b328c766c9ef3e1174a84a23619fedec?experiments=&features=reader_skimming%3Atrue
